algorithm,scenario,type,size,obj_value,cv_obj_value,runtime,cv_runtime
ILS,3,C,700,1309.0,17.18527915986327,5453.7027445474,31.404823981002366
ILS,3,C,800,1404.9,19.085338664832335,8260.5836785738,49.68307793249899
ILS,3,C,1000,1639.1666666666667,24.934481560354158,18332.52621526833,23.764191798520354
ILS,3,NC,300,524.6,22.63596769678721,17.587966175,20.64184874910786
ILS,3,NC,500,972.2,27.673464922002246,1719.5887796615,78.6830810032364
ILS,4,C,300,677.6,14.548926140432528,15.7149670284,28.697197240651928
ILS,4,C,500,868.8,20.94097068171055,723.0962968099,24.692869193842622
ILS,4,C,700,1184.3,24.263765958993773,2380.0811898707993,32.48694578260849
ILS,4,C,800,1482.2,21.408146935262227,4558.387864284,46.69333603734834
ILS,4,C,1000,1992.4,2.838683743156525,13900.3062161428,39.528681874208324
ILS,4,NC,300,559.6,30.592668544393533,9.360836283000001,44.89008859327228
ILS,4,NC,500,1032.5,15.803800702022375,1010.0111382245998,46.261450945303665
ILS,4,NC,700,1332.0,5.85200458555708,4885.012598627,17.120570658330912
Simulated_Annealing,1,C,300,594.5,11.710681298434498,13.0153136265,59.71564686940464
Simulated_Annealing,1,C,500,754.4444444444445,8.276314322092377,191.31476965666664,19.38458680307676
Simulated_Annealing,1,C,700,578.5,35.74020810169111,483.0836743627001,40.404865280522145
Simulated_Annealing,1,C,800,538.7,36.31004871624863,625.0312699505,45.86001827405037
Simulated_Annealing,1,C,1000,499.3,10.731179678783196,1099.2519010033,36.550854273810316
Simulated_Annealing,1,FC,300,590.2,19.96205565589121,6.6346367574,42.16791825630377
Simulated_Annealing,1,FC,500,723.0,5.2014033291546165,160.53280142060004,30.704674705346736
Simulated_Annealing,1,FC,700,700.7,3.9412903388193152,533.3507625671999,30.341382105042037
Simulated_Annealing,1,FC,800,681.4,4.950340550319201,774.7305028856999,37.52397200585633
Simulated_Annealing,1,FC,1000,665.4,5.424269540152008,2030.2029207520002,25.62049999428893
Simulated_Annealing,1,NC,300,580.4,14.415048280708373,8.041298238,35.07722495871791
Simulated_Annealing,1,NC,500,474.0,6.839117393200681,121.92936809179999,33.96236468988264
Simulated_Annealing,1,NC,700,359.5,35.58936886141944,279.6446392371,52.34902897647314
Simulated_Annealing,1,NC,800,346.8,36.03365228618271,408.34040725140005,40.30067458257722
Simulated_Annealing,1,NC,1000,278.6,37.0424010046251,556.235665677,49.563733497409466
Simulated_Annealing,2,C,300,337.8,36.87585154751662,1.7937369557,59.00282406294697
Simulated_Annealing,2,C,500,256.6,35.73286919142345,15.324288477600001,41.19441723339538
Simulated_Annealing,2,C,700,221.0,11.685154719907429,59.49576159000001,29.970531875843488
Simulated_Annealing,2,C,800,167.5,36.32726669033146,78.09429961430001,60.19262132240753
Simulated_Annealing,2,C,1000,123.9,53.9994534497887,130.0006223342,64.2227794106373
Simulated_Annealing,2,FC,300,433.8,6.526272837199292,2.7011516234000004,41.0553263265259
Simulated_Annealing,2,FC,500,411.2,7.514726981625361,40.018391196,35.48692761273546
Simulated_Annealing,2,FC,700,398.5,6.607849048904478,178.432272754,25.121260085933343
Simulated_Annealing,2,FC,800,383.1,3.761487520617663,517.7481419659,25.977059807176982
Simulated_Annealing,2,FC,1000,403.7,3.942729144458965,1387.6640649416001,27.373332960447883
Simulated_Annealing,2,NC,300,243.4,13.09018317923337,4.170272262599999,33.174052206983745
